,precision,recall,f1-score,support
0,0.9923838537699924,0.9992331288343558,0.995796713794421,1304.0
1,0.9992223950233281,0.9922779922779923,0.9957380860131733,1295.0
accuracy,0.9957676029242016,0.9957676029242016,0.9957676029242016,0.9957676029242016
macro avg,0.9958031243966603,0.9957555605561741,0.9957673999037971,2599.0
weighted avg,0.9957912839058407,0.9957676029242016,0.9957675014139995,2599.0
