,precision,recall,f1-score,support
0,0.9388888888888889,0.8733850129198967,0.9049531459170013,387.0
1,0.4431818181818182,0.639344262295082,0.5234899328859062,61.0
accuracy,0.8415178571428571,0.8415178571428571,0.8415178571428571,0.8415178571428571
macro avg,0.6910353535353535,0.7563646376074893,0.7142215394014537,448.0
weighted avg,0.8713930600649352,0.8415178571428571,0.8530128423569637,448.0
