,precision,recall,f1-score,support
0,0.9961059190031153,0.9953307392996109,0.9957181782794862,1285.0
1,0.9954372623574145,0.9961948249619482,0.9958158995815899,1314.0
accuracy,0.9957676029242016,0.9957676029242016,0.9957676029242016,0.9957676029242016
macro avg,0.9957715906802649,0.9957627821307795,0.995767038930538,2599.0
weighted avg,0.9957678601987864,0.9957676029242016,0.9957675841244128,2599.0
