,precision,recall,f1-score,support
0,0.9921951219512195,1.0,0.9960822722820764,1017.0
1,1.0,0.9920398009950249,0.996003996003996,1005.0
accuracy,0.9960435212660732,0.9960435212660732,0.9960435212660732,0.9960435212660732
macro avg,0.9960975609756098,0.9960199004975124,0.9960431341430362,2022.0
weighted avg,0.996074401100094,0.9960435212660732,0.9960433664168584,2022.0
