,precision,recall,f1-score,support
0,0.9961240310077519,0.9990281827016521,0.9975739932071809,1029.0
1,0.998989898989899,0.9959718026183283,0.9974785678265256,993.0
accuracy,0.9975272007912958,0.9975272007912958,0.9975272007912958,0.9975272007912958
macro avg,0.9975569649988254,0.9974999926599901,0.9975262805168532,2022.0
weighted avg,0.9975314528209428,0.9975272007912958,0.9975271300009539,2022.0
