,precision,recall,f1-score,support
0,0.9975,0.9941860465116279,0.9958402662229617,1204.0
1,0.9942903752039152,0.997545008183306,0.9959150326797386,1222.0
accuracy,0.9958779884583677,0.9958779884583677,0.9958779884583677,0.9958779884583677
macro avg,0.9958951876019576,0.995865527347467,0.9958776494513502,2426.0
weighted avg,0.9958832805025493,0.9958779884583677,0.9958779268207282,2426.0
