,precision,recall,f1-score,support
0,0.9905040175310446,0.9992630803242447,0.9948642699926632,1357.0
1,0.9992647058823529,0.9905247813411079,0.9948755490483163,1372.0
accuracy,0.994869915720044,0.994869915720044,0.994869915720044,0.994869915720044
macro avg,0.9948843617066987,0.9948939308326763,0.9948699095204898,2729.0
weighted avg,0.9949084383511234,0.994869915720044,0.9948699405182608,2729.0
