,precision,recall,f1-score,support
0,0.9918166939443536,0.9991755976916735,0.9954825462012319,1213.0
1,0.9991694352159468,0.9917559769167353,0.9954489035995036,1213.0
accuracy,0.9954657873042044,0.9954657873042044,0.9954657873042044,0.9954657873042044
macro avg,0.9954930645801502,0.9954657873042044,0.9954657249003678,2426.0
weighted avg,0.9954930645801501,0.9954657873042044,0.9954657249003678,2426.0
