,precision,recall,f1-score,support
0,0.9934533551554828,0.9991769547325103,0.9963069347558474,1215.0
1,0.9991694352159468,0.9933938893476466,0.9962732919254658,1211.0
accuracy,0.9962901896125309,0.9962901896125309,0.9962901896125309,0.9962901896125309
macro avg,0.9963113951857148,0.9962854220400785,0.9962901133406565,2426.0
weighted avg,0.9963066828361185,0.9962901896125309,0.9962901410758837,2426.0
