,precision,recall,f1-score,support
0,0.9916158536585366,0.999231950844854,0.9954093343534812,1302.0
1,0.9992229992229992,0.9915188897455667,0.9953560371517027,1297.0
accuracy,0.9953828395536745,0.9953828395536745,0.9953828395536745,0.9953828395536745
macro avg,0.9954194264407679,0.9953754202952103,0.995382685752592,2599.0
weighted avg,0.9954121090633492,0.9953828395536745,0.9953827370196193,2599.0
