,precision,recall,f1-score,support
0,0.997997997997998,0.9940179461615155,0.996003996003996,1003.0
1,0.9941348973607038,0.9980372914622179,0.9960822722820764,1019.0
accuracy,0.9960435212660732,0.9960435212660732,0.9960435212660732,0.9960435212660732
macro avg,0.9960664476793509,0.9960276188118666,0.9960431341430362,2022.0
weighted avg,0.9960511634038325,0.9960435212660732,0.9960434438414657,2022.0
